date,fuel_price
2015-01-01,50.686325586084145
2015-02-01,50.8746567124349
2015-03-01,48.296499889486334
2015-04-01,48.55672907631251
2015-05-01,48.94707439122405
2015-06-01,52.941937559951974
2015-07-01,52.95339611278029
2015-08-01,53.70571712628071
2015-09-01,53.95364947172285
2015-10-01,52.50063241529355
2015-11-01,54.51486663706608
2015-12-01,55.94276618609624
2016-01-01,57.42931410666081
2016-02-01,56.3652329244687
2016-03-01,58.76942439087285
2016-04-01,56.96664779668443
2016-05-01,58.14693343738483
2016-06-01,61.732616876099804
2016-07-01,60.54681238840377
2016-08-01,59.99736579399961
2016-09-01,60.446842841631074
2016-10-01,59.99162936045678
2016-11-01,57.96563421385758
2016-12-01,58.368478676066616
2017-01-01,57.07502310547746
2017-02-01,58.08541175143023
2017-03-01,57.00627540007953
2017-04-01,59.631177007605835
2017-05-01,58.75629706910148
2017-06-01,58.573204794792964
2017-07-01,60.09348062084747
2017-08-01,58.547184146196535
2017-09-01,59.18837404810273
2017-10-01,61.44908817952637
2017-11-01,59.33786332768453
2017-12-01,59.91481411548299
2018-01-01,60.60463830685562
2018-02-01,62.07737261452159
2018-03-01,60.52194654820447
2018-04-01,58.84126162857805
2018-05-01,59.9241739770034
2018-06-01,60.66965098685318
2018-07-01,61.34539026237199
2018-08-01,62.16506257661746
2018-09-01,61.44502549424972
2018-10-01,62.09340603999122
2018-11-01,62.833014749939245
2018-12-01,62.0614876228997
2019-01-01,65.16014938961683
2019-02-01,66.17089877098451
2019-03-01,64.68394352518054
2019-04-01,65.96877393813128
2019-05-01,64.8067514327903
2019-06-01,66.28737833840398
2019-07-01,68.32527170691509
2019-08-01,67.39424822938753
2019-09-01,69.13931242325401
2019-10-01,70.05848381365875
2019-11-01,71.59157405365049
2019-12-01,74.73676352763141
2020-01-01,74.66868135362711
2020-02-01,73.83807710709087
2020-03-01,72.80380546265258
2020-04-01,71.88009003520443
2020-05-01,72.06443747108327
2020-06-01,72.87616543330824
2020-07-01,73.59120163230327
2020-08-01,75.1319765058573
2020-09-01,75.45147934367417
2020-10-01,77.93178045941013
2020-11-01,77.8347952095532
2020-12-01,82.21504895943764
2021-01-01,83.45354998108513
2021-02-01,82.46781364646071
2021-03-01,81.16147489936904
2021-04-01,82.18518352223381
2021-05-01,82.14998934424504
2021-06-01,83.52099008538318
2021-07-01,84.53084652224351
2021-08-01,84.7216031532582
2021-09-01,83.75141257615559
2021-10-01,81.77914173912679
2021-11-01,81.40936931102625
2021-12-01,82.99396750251147
2022-01-01,83.61510811870677
2022-02-01,82.04649995063879
2022-03-01,82.60627133941557
2022-04-01,83.48424740900882
2022-05-01,82.45846125470712
2022-06-01,82.98904891362541
2022-07-01,83.3763619912944
2022-08-01,81.96190654454847
2022-09-01,82.7985875850709
2022-10-01,83.93976437462325
2022-11-01,85.86434123938618
2022-12-01,87.74504431743853
2023-01-01,85.9785402655029
2023-02-01,84.87180270563022
2023-03-01,85.9443556064432
2023-04-01,87.01503453281151
2023-05-01,88.0876060622706
2023-06-01,94.16670329825267
2023-07-01,95.32303906429243
2023-08-01,97.32638752456333
2023-09-01,99.05739016980313
2023-10-01,100.33447704676183
2023-11-01,100.16157317980131
2023-12-01,101.60002701054121
