date,commodity_price
2015-01-01,101.49342830602247
2015-02-01,101.7168997036801
2015-03-01,103.51227677988147
2015-04-01,107.05833649269753
2015-05-01,107.09002974325085
2015-06-01,107.1217558293525
2015-07-01,110.78018146036729
2015-08-01,112.8150509186731
2015-09-01,112.37610214680319
2015-10-01,113.96122223397512
2015-11-01,113.5343868483502
2015-12-01,113.10292734120969
2016-01-01,114.08685188434175
2016-02-01,110.76029139502616
2016-03-01,107.81045573000009
2016-04-01,107.18588067151815
2016-05-01,105.6602184308493
2016-06-01,106.78871309603984
2016-07-01,105.47266494499743
2016-08-01,103.14805754232684
2016-09-01,106.57935508016995
2016-10-01,106.62780247919687
2016-11-01,107.26285888857272
2016-12-01,104.91336251614581
2017-01-01,104.32459706709545
2017-02-01,105.04644224651518
2017-03-01,103.24445509167057
2017-04-01,104.49585112836192
2017-05-01,103.79457374852431
2017-06-01,103.71118624893775
2017-07-01,103.00777302447896
2017-08-01,107.21232939349684
2017-09-01,107.68533494402097
2017-10-01,106.06991308610917
2017-11-01,108.21500291031555
2017-12-01,106.2733156103735
2018-01-01,107.19104280038302
2018-02-01,103.77170255262347
2018-03-01,101.6153304548266
2018-04-01,102.50905292656485
2018-05-01,104.48598608655567
2018-06-01,105.32872264893561
2018-07-01,105.59742608415912
2018-08-01,105.49521869298056
2018-09-01,103.03817471224569
2018-10-01,102.09848629545628
2018-11-01,101.6772087535367
2018-12-01,104.29145320597453
2019-01-01,105.47868978511146
2019-02-01,102.452609474386
2019-03-01,103.60077741317558
2019-04-01,103.33061285234295
2019-05-01,102.47676885173104
2019-06-01,104.20012142941276
2019-07-01,106.76212047440467
2019-08-01,109.12468071263706
2019-09-01,107.94624566619179
2019-10-01,107.82782091448937
2019-11-01,108.99034777729649
2019-12-01,111.44143803154121
2020-01-01,110.98308955585063
2020-02-01,111.11177160252299
2020-03-01,109.39910165451093
2020-04-01,107.5066884063496
2020-05-01,109.631740051138
2020-06-01,112.84422010827963
2020-07-01,113.20019986511896
2020-08-01,115.70726566090302
2020-09-01,116.93053771099828
2020-10-01,116.14029820178803
2020-11-01,117.36308941280487
2020-12-01,120.93916254573679
2021-01-01,121.3675104675169
2021-02-01,124.99679777914491
2021-03-01,120.25730757096542
2021-04-01,122.40111257971587
2021-05-01,123.07520671619221
2021-06-01,122.97719201526047
2021-07-01,123.66071356833147
2021-08-01,120.18557573912969
2021-09-01,120.24623196345468
2021-10-01,121.46045710647816
2021-11-01,124.9162451959612
2021-12-01,124.3797047594139
2022-01-01,123.26271755362752
2022-02-01,122.75920346645844
2022-03-01,125.0900077018626
2022-04-01,126.24750992118197
2022-05-01,125.68798951364789
2022-06-01,127.2145243798746
2022-07-01,127.90867947857069
2022-08-01,130.34596945963645
2022-09-01,129.44186327188174
2022-10-01,129.28653897868622
2022-11-01,129.0023226724219
2022-12-01,126.57529277615767
2023-01-01,127.66753333028682
2023-02-01,128.6896438746466
2023-03-01,129.19987078793153
2023-04-01,129.23069652118122
2023-05-01,126.89995503708039
2023-06-01,126.55866439154968
2023-07-01,126.37323535849615
2023-08-01,125.26868082005291
2023-09-01,125.44610939672089
2023-10-01,126.75421111034996
2023-11-01,131.026582912771
2023-12-01,131.8757385384347
