date,commodity_price
2015-01-01,124.96714153011233
2015-02-01,243.5844985184005
2015-03-01,370.0613838994074
2015-04-01,505.29168246348763
2015-05-01,622.9501487162543
2015-06-01,740.6087791467625
2015-07-01,876.4009073018364
2015-08-01,1004.0752545933655
2015-09-01,1119.3805107340158
2015-10-01,1244.8061111698755
2015-11-01,1360.171934241751
2015-12-01,1475.5146367060483
2016-01-01,1597.9342594217087
2016-02-01,1698.8014569751308
2016-03-01,1801.5522786500005
2016-04-01,1915.9294033575907
2016-05-01,2025.8010921542464
2016-06-01,2148.943565480199
2016-07-01,2259.8633247249873
2016-08-01,2365.740287711634
2016-09-01,2500.39677540085
2016-10-01,2618.1390123959845
2016-11-01,2738.8142944428637
2016-12-01,2844.566812580729
2017-01-01,2959.1229853354776
2017-02-01,3080.2322112325764
2017-03-01,3188.7222754583536
2017-04-01,3312.47925564181
2017-05-01,3426.4728687426223
2017-06-01,3543.5559312446894
2017-07-01,3657.5388651223952
2017-08-01,3796.0616469674846
2017-09-01,3915.9266747201054
2017-10-01,4025.3495654305466
2017-11-01,4153.5750145515785
2017-12-01,4261.366578051869
2018-01-01,4383.455214001916
2018-02-01,4483.858512763119
2018-03-01,4590.576652274134
2018-04-01,4712.545264632826
2018-05-01,4839.92993043278
2018-06-01,4961.64361324468
2018-07-01,5080.487130420797
2018-08-01,5197.476093464905
2018-09-01,5302.690873561231
2018-10-01,5415.492431477283
2018-11-01,5530.886043767686
2018-12-01,5661.4572660298745
2019-01-01,5784.893448925559
2019-02-01,5887.263047371932
2019-03-01,6010.50388706588
2019-04-01,6126.653064261717
2019-05-01,6239.8838442586575
2019-06-01,6366.000607147066
2019-07-01,6496.310602372026
2019-08-01,6625.623403563188
2019-09-01,6737.231228330961
2019-10-01,6854.139104572449
2019-11-01,6977.451738886484
2019-12-01,7107.207190157707
2020-01-01,7222.4154477792545
2020-02-01,7340.558858012616
2020-03-01,7449.4955082725555
2020-04-01,7557.533442031749
2020-05-01,7685.658700255691
2020-06-01,7819.221100541399
2020-07-01,7938.500999325596
2020-08-01,8068.536328304516
2020-09-01,8192.152688554992
2020-10-01,8305.70149100894
2020-11-01,8429.315447064024
2020-12-01,8564.695812728683
2021-01-01,8684.337552337583
2021-02-01,8819.983988895723
2021-03-01,8913.786537854825
2021-04-01,9042.005562898577
2021-05-01,9162.876033580958
2021-06-01,9279.885960076299
2021-07-01,9400.803567841655
2021-08-01,9500.927878695646
2021-09-01,9618.731159817271
2021-10-01,9742.302285532389
2021-11-01,9877.081225979804
2021-12-01,9991.898523797068
2022-01-01,10103.813587768136
2022-02-01,10218.79601733229
2022-03-01,10347.95003850931
2022-04-01,10471.237549605907
2022-05-01,10585.939947568237
2022-06-01,10711.07262189937
2022-07-01,10832.04339739285
2022-08-01,10961.729847298178
2022-09-01,11074.709316359405
2022-10-01,11191.432694893429
2022-11-01,11307.511613362107
2022-12-01,11412.876463880786
2023-01-01,11535.837666651432
2023-02-01,11658.448219373231
2023-03-01,11778.499353939656
2023-04-01,11896.153482605905
2023-05-01,12001.9997751854
2023-06-01,12117.793321957746
2023-07-01,12234.366176792479
2023-08-01,12346.343404100262
2023-09-01,12464.730546983601
2023-10-01,12588.771055551746
2023-11-01,12727.632914563852
2023-12-01,12849.378692692171
